,article,sentiment,Week_number
782,이 같이 수입 업체들의 한국 시장 공략 전략은 가격 대비 최대의 효용을 추구하는 소비자들의 구매 패턴을 파악했기 때문이다,0,14
783,향후 한돈 점유율 하락이 우려되고 ,-1,14
784,↓,-1,14
785,상승기에 접어들 것으로 관측됐다,0,14
786,평년 대비로도 돈가 상승은 억제될 것으로 보인다,0,14
787,오를 것으로 내다봤다,0,14
788,봄철 상승기에 접어들 것이란 전망이다,0,14
789,평년,0,14
790,약세가 예상됐다,-1,14
791,낮을 것으로 관측됐다,0,14
792,제외하고는 올해 예상 돈가가 평년 대비로도 모두 낮다,0,14
793,고돈가 시기에 비해 어려운 시장이 예고되고 ,-1,14
794,이는 무엇보다 돼지 출하물량이 증가한데 따른 것으로 분석됐다,0,14
795,농경연은 5~9월 돼지 등급판정 두수가 전년 동기보다 1.4,0,14
796,9월은 1천80만~1천100만 마리로 전년 대비 0.7,0,14
797,A형 구제역 원인 불명확,-1,14
798,경기 김포의 양돈장에서 A형 구제역이 발생했다,0,14
799,한우)에서 구제역이 발생한 이후 407일만이며 돼지에서의 발생은 16년 3월 이후 2년만이다,0,14
800,특히 이번처럼 A형 구제역이 돼지에 발생한 것은 국내에선 이번이 처음이다,0,14
801,세계적으로도 발생 사례가 드물다,0,14
802,■국내 구제역 발생 일지,0,14
803,구제역 재발로 시작됐다,0,14
804,돼지 16만마리가 묻혔다,-1,14
805,살처분되는 최악의 피해를 남겼다,-1,14
806,그렇게 해를 걸러 재발이 이어지던 구제역은 지난 14년 이후부터는 매년 발생하고 ,0,14
807,기록을 남기게 됐다,0,14
808,지난해 2월 A형 구제역이 발생한바 있다,0,14
809,소에서 발생했으며 돼지는 이번이 처음이다,0,14
810,구제역 발생은 세계적으로도 흔치 않은 것으로 알려졌다,0,14
811,우리나라와 인접한 중국이다,0,14
812,농장 간 돼지 이동제한 등을 조치했다,0,14
813,점이 우려되는 점,-1,14
814,단계로 격상하는 한편 발생 지역인 경기도,0,14
815,전국 돼지에 백신을 접종하고 이후 2차 백신도 추가로 실시할 계획이다,0,14
816,당장 백신,0,14
817,시간이 필요한 만큼 확산 가능성이 있어 긴장의 끈을 놓을 수 없는 상황이다,-1,14
818,정확한 유입 경로는 아직 밝혀지지 않아 불안감이 더욱 커지고 ,-1,14
819,↓,0,14
820,한돈 비싸 업체들 사용 꺼려최근 몇 년간 고돈가가 지속되면서 ,-1,14
821,P 낮아졌다,0,14
822,연속 하락한 것이다,-1,14
823,증가하면서 원료육 시장이 빠르게 수입산으로 잠식되고 ,-1,14
824,국산은 가격이 비싸 경쟁이 안 된다고 ,-1,14
825,두서경양돈 전산농가 분석 결과올해는 작년보다 다소 늘 듯지난해 농가 손익 분기점은 MSY 14.8두로 나타났다,-1,14
826,올해는 돈가 하락 전망으로 MSY 손익 분기점은 이보다 높아질 전망이다,-1,14
827,전산 경영 분석 농장 모두 흑자,1,14
828,경영을 이룬 것으로 분석됐다,0,14
829,대부분의 농가가 수익을 올린 것으로 추정됐다,0,14
830,분석돼 생산성 제고에 많은 노력을 기울여야 한다고 ,-1,14
831,두로 전년보다 줄어,0,14
832,크게 감소했다,0,14
833,연초 수입 물량을 다소 조절한 영향으로 풀이된다,0,14
834,물량이 계획되고 있는 등 본격적으로 종돈은 수입될 전망이다,0,14
835,물량이 원활하게 들어올 지는 미지수로 분석되고 ,0,14
836,접종국내선 처음으로 돼지에 A형 구제역이 발생했다,0,14
837,확산 여부에 촉각을 곤두세우고 ,0,14
838,형의 구제역이 확진됐다,-1,14
839,차례 발생한 A형도 모두 소 구제역이었다,0,14
840,농축산부는 백신 미접종 유형의,0,14
841,구제역이 발생한 만큼 우선 경기와 충남지역 돼지에 O,0,14
842,순차적으로 O,0,14
843,14번쨰 기사입니다,0,15
844,P ↓,0,15
845,지난해 돼지고기의 유통비 비중이 낮아졌다,0,15
846,P 하락했다,-1,15
847,유통비용률은 소비자가격 중 농가 수취가격을 제외한 나머지 유통비용이 차지하는 비중이다,0,15
848,각각 상승했다,0,15
849,수입 돼지고기 유통비용률도 감소했다,1,15
850,p 감소했다,-1,15
851,가격 상승에다 판매가 부진해 유통업체들의 이윤이 감소했기 때문으로 풀이됐다,-1,15
852,하락했다,0,15
853,이상 떨어졌다,-1,15
854,증가했다,1,15
855,예견됐던 증가세였다,0,15
856,월별로 보면 1월 출하가 160만마리로 일년전보다,0,15
857,감소했다,-1,15
858,발생한 구제역에 따라 이동제한이 실시된 영향이다,0,15
859,지난해보다 돼지 출하가 적었던 셈이다,-1,15
860,돼지 값은 약세가 이어졌다,-1,15
861,하락했다,0,15
862,낮았다,0,15
863,동시에 소비도 침체됐던 때문으로 분석되고 ,-1,15
864,같은 양돈시장에 호재로 작용하던 외부 변수들도 없어 돼지 값 하락을 피할 수 없었다,-1,15
865,예측을 어렵게 하고 ,-1,15
866,지난해와 견줘서는 모두 하락할 것으로 내다봤다,-1,15
867,무엇보다 돼지 출하가 많을 것이란 게 주요 이유다,0,15
868,돼지 출하 두수조차 장담하기 어렵게 됐다,-1,15
869,최근 올해 돼지 출하가 예상보다 적을 수 있다는 전망이 나,-1,15
870,고 있어서다,0,15
871,탓에 자돈 폐사가 많았기 때문,-1,15
872,가량 감소한 것도 이를 뒷받침한다는 지적이다,-1,15
873,공급물량 감소 가능성만 있는 것은 아니다,0,15
874,수입량도 예상을 빗나갈 수 있다는 신호들이 나타나고 ,-1,15
875,미국 돼지 값 하락이 예상되고 ,-1,15
876,이와 상관없이 올해 중국의 돼지고기 수입량 감소와 미국 등의 돼지고기 생산 증가가 전망되고 ,0,15
877,우리나라 돼지고기 수입이 증가할 여지가 높아지고 ,0,15
878,소비 측면에서 불안을 부르는 변수들도 있다,-1,15
879,지방선거가 치러진다,0,15
880,제한되는 만큼 소비 침체 분위기를 더욱 심화시킬 가능성이 있다,-1,15
881,소비에 찬물을 끼얹을 수 있어 우려되고 ,-1,15
882,최근 발생한 돼지 구제역은 그 여파를 더 짐작하기 어려운 변수다,0,15
883,시장의 반응 등이 가늠하기 어려워서다,-1,15
884,특히 질병은 그 발생 여부조차 예측 불가능하다는 점에서 시장의 불확실성을 높이는 변수로 더욱 요주의 대상이 된다,-1,15
885,문제는 이처럼 올해 돼지 값 약세가 지속되는 가운데 예측마저 어려운 시장이 전개되면서 양돈농가의 경영 불안은 더욱 커진다는 점이다,-1,15
886,이에 농가들,0,15
887,요구되고 ,0,15
888,돼지고기 수입 브레이크가 없다,-1,15
889,월 수입 7년만에 5만톤 넘어1분기 13만톤 전년비 18,0,15
890,각각 증가했다,0,15
891,전년 대비 4.3,0,15
892,월간 돈육 수입량이 5만톤을 넘은 것은 근 7년만이다,0,15
893,점을 감안하면 3월 수입량이 실질적인 역대 최고치인 셈이다,1,15
894,이로써 1분기 돼지고기 수입량은 13만톤으로 일년전 11만톤 대비 18,0,15
895,그동안 계속됐던 고돈가에 수입육이 시장을 넓혀온 것으로 파악되고 ,0,15
896,삼겹살 외 가공용 부위들이 올해도 전체 수입량 증가를 견인했다,0,15
897,삼겹살(1만7천톤)을 크게 웃돈 것은 물론 전체 수입량 중 절반 이상을 차지했으며 뒷다리,0,15
898,증가하면서 전체 수입량 가운데 47.5,0,15
899,반면 삼겹살은 4만7천톤으로,0,15
900,년전보다,0,15
901,)로 떨어졌다,0,15
902,전체 증가율에는 못 미쳤다,-1,15
903,급증했다,0,15
904,미국산 증가세가 두드러졌다,0,15
905,감소했다,-1,15
906,김포서 또 구제역,0,15
907,지원돼지 A형 구제역이 추가로 발생했다,0,15
908,경기 김포 하성면 양돈장에서 구제역 항원이 확인돼 농림축산검역본부에서 정밀 검사한 결과 혈청형 A형으로 확진됐다고 ,0,15
909,의견을 수렴한 결과 추가 검출 원인이 김포지역에 바이러스가 남아있는 것으로 추정됨에 따라 추가 방역 조치키로 했다,-1,15
910,접종 시기를 당초 계획(24~26일)보다 당겨 오는 20일 실시키로 했다,0,15
911,강화는 김포를 거쳐야만 내륙으로 이동이 가능한 지역적 특성이 고려된 것이다,0,15
912,강화군은 16일까지로 일주일 더 연장된다,0,15
913,김포시는 발생지역인 만큼 긴급행동지침에 따라 이동제한 조치가 유지된다,0,15
914,강화지역 돼지농장 일제 청소 및 특별 소독 캠페인,0,15
915,실시하고 김포시에 긴급 가축방역비 1억원을 긴급 지원했다,1,15
916,농가 생산 성적이 올해는 전반적으로 상승하고 ,1,15
917,생산성적은 작년과 비교해 향상된 것으로 나타났다,1,15
918,두로 작년과 비교해 소폭 상승한 것으로 나타났다,0,15
919,두로 지난해에 비해 상승했다,1,15
920,분기 성적은 전반적으로 전년도 동분기 보다 향상될 것으로 예측되고 ,1,15
921,매출 비중이 매년 낮아지고 ,-1,15
922,수입 돈육 매출 확대와 연관이 있는 것으로 추정되고 ,0,15
923,저지방 50.3,0,15
924,저지방 51.2,0,15
925,저지방 51.6,0,15
926,지난 2014년 하반기 이후 ‘웰빙 붐,0,15
927,일어나면서 ,1,15
928,수입 돈육 대체와도 연관이 있는 것으로 추정되고 ,0,15
929,수입 돼지 매출 구성비는 매년 성장하고 ,1,15
930,소비자들이 가격 대 성능비가 우수한 냉장 수입 삼겹살로 구매를 대체하고 ,1,15
931,15번쨰 기사입니다,0,16
932,분기 수입육의 시장 잠식은 더 심화됐다,-1,16
933,밑돌았다,-1,16
934,늘었다,1,16
935,연속 사상 최고를 기록하게 된다,1,16
936,수입량은 더 크게 늘었다,0,16
937,1분기 돼지고기 수입량은 일년전 11만톤 대비 18,0,16
938,수준에 그쳤다,0,16
939,분기만 보면 돼지고기 자급률은 70,0,16
940,하락했다,-1,16
941,소비 침체에다 증가한 한돈 생산이 돼지 값 하락의 원인으로 지목되고 ,-1,16
942,이 같은,0,16
943,원인을 의심케 하고 ,-1,16
944,중국의 수입 감소로 세계 돼지 값 하락이 점쳐지고 ,-1,16
945,가능성이 높아지고 ,1,16
946,중요해지고 ,0,16
947,번식 ↑ 자돈 ↓1분기 양돈사료량이 지난해보다 5,0,16
948,늘었다,0,16
949,참조> 1~2월에 이어 3월 역시 역대 동월 양돈사료량으로는 역대 최대치다,-1,16
950,올해 양돈 사료량은 사상 최고치를 기록할 것으로 보인다,1,16
951,이로써 1분기 양돈사료량은 일년전보다 5.2,0,16
952,늘었다,0,16
953,감소했다,0,16
954,원료값 급등,1,16
955,호소올해 돼지 값이 약세를 형성하는 가운데 사료 가격 인상도 예고되고 ,-1,16
956,대두박 가격이 지난 1월 톤당 403,0,16
957,이달 중순 현재 490달러까지 치솟았다,0,16
958,3월 229달러까지 올랐으며 이달 230달러대를 유지하고 ,0,16
959,올랐다,0,16
960,아르헨티나의 가뭄이 주요 원인으로 꼽히고 ,0,16
961,남미산이 차지하는 대두박의 경우 그 직격탄을 맞아 가격이 급등하고 ,-1,16
962,가격 인상 요인이 발생한 상태,0,16
963,최근 원화 강세가 지속됐지만 원료가격 상승분을 상쇄할 정도는 아니라는 설명이다,0,16
964,시기와 인상폭을 저울질하는 단계인 것으로 파악되고 ,0,16
965,안 될 정도로 곡물 가격이 치솟았다,0,16
966,지금과 같은 강세가 유지될 것으로 전망되고 ,1,16
967,가격 상승을 유발할 수 있다는 점이 불안 요인으로 분석되고 ,-1,16
968,  양돈업 피해 가장 커산자부  연간 708억원 손실,-1,16
969,났다,0,16
970,우리나라의 농축산물 생산액이 연평균 1천951억원 감소했다,-1,16
971,가량 감소했다는 것이다,-1,16
972,특히 이 가운데 축산업 피해가 연평균 1천195억원으로 농업 전체 피해 가운데 61.2,-1,16
973,양돈분야의 생산액 피해는 전체 우리나라 농업 피해의 36.3,-1,16
974,품목에 비해 빠르게 인하돼 영향이 큰 것으로 보인다고 ,0,16
975,미국에서 수입되는 돼지고기의 주요 부위들은 지난 16년부터 무관세로 들어오고 ,0,16
976,관세가 부과되고 ,0,16
977,밑도는 수준이라고 지적하면서 ,-1,16
978,보복관세 추진우리 정부가 미국에 대해 보복관세를 추진한다,-1,16
979,국내로 수입되는 미국산 제품에 대한 양허정지를 세계무역기구(WTO,0,16
980,이는 미국의 태양광과 세탁기 긴급수입세한조치,0,16
981,정부는 미국의 세이프 가드로 인한 한국산 수출품의 추가 관세 부담액이 연간,0,16
982,억8천만달러(5천억원)에 달하는 것으로 추정하고 ,0,16
983,이에 이와 실질적으로 동등한 수준으로 미국산 수입품에 대해 양허정지를 추진할 계획이며 해당 품목은 추후 통보키로 했다,0,16
984,한돈 소비가 총체적 난국에 봉착했다,-1,16
985,동향분석회의를 개최했다,0,16
986,호재가 없어 현재 한돈 소비 시장은 ‘총체적 난국,-1,16
987,더 이상의 가격 상승은 제한적일 것으로 분석했다,0,16
988,이들은 내달부터 출하물량이 본격적으로 부족할 것으로 예측,0,16
989,16번쨰 기사입니다,0,17
990,모돈 작년보다 늘었다,-1,17
991,돼지 사육두수는 지난해보다 증가한 것으로 나타났다,0,17
992,통계청은 지난 19일 1분기 가축사육,0,17
993,늘었다고 ,0,17
994,이 가운데 모돈수는 105만8천마리로 12월과 같았으며 지난해 3월에 비해 1.2,0,17
995,가량 두수가 많다,0,17
996,이처럼 전체 두수는 늘었지만 ,0,17
997,각각 감소했다,0,17
998,감소했다,-1,17
999,늘었다,0,17
1000,이로써 3월 기준 농장당 사육두수는 1천778마리로 지난해 동월보다 3.2,0,17
1001,↑) △5천마리 이상=355만5천마리(전년비 3.5,0,17
1002,소폭 올랐다,0,17
1003,한편 이번 돼지 사육두수 통계는 표본농가 범위를 기존 농림,0,17
1004,농가와 함께 법인도 포함되면서 기존 통계와 차이가 발생한다고 ,0,17
1005,올해는 5천원을 넘기 힘들 전망이다,-1,17
1006,돼지고기 생산량 증가로 돼지 지육가격은 전년보다 약세를 보일 것으로 전망했다,-1,17
1007,하락할 것으로 예상했다,0,17
1008,이는 탕박 기준 제주 가격을 포함한 수치로 제주 가격을 제외한다면 이보다 더 하락한 가격이 형성될 것으로 보인다,0,17
1009,출하두수는 139만마리가 예측된다,0,17
1010,수준으로 연중 최고를 형성하다,0,17
1011,전년보다 낮게 형성될 것으로 예측됐다,0,17
1012,들어가는 가운데 수입량만은 예상을 빗나가고 ,0,17
1013,가량 적었다,0,17
1014,늘었다,0,17
1015,이렇게 수입이 급증한 것일까,0,17
1016,전망한 이유는 국내 돼지 출하증가와 돼지 값 하락 때문이었다,-1,17
1017,하락했다,-1,17
1018,수입이 이처럼 증가한 이유는 수입 부위에서 찾을 수 있다,0,17
1019,값은 하락했지만 전후지 부위는 강세를 보이며 수입산에 대한 수요가 증가한 것이다,1,17
1020,상승했다,0,17
1021,급증했으며 뒷다리도 지난해 400여톤서 올해 2천톤을 넘기며 4배 가량 증가했다,0,17
1022,여기다 세계 주요 국가들의 돼지 값 하락도 한몫했다,-1,17
1023,떨어져 약세를 형성하고 ,-1,17
1024,환율도 받쳐줬다,1,17
1025,올해 원화가 강세를 보였다,1,17
1026,이 같은 국제 돼지 값 하락과 원화 강세는 수입 가격에 반영됐다,0,17
1027,가량 하락했다,-1,17
1028,향후 돼지고기 수입 전망도 낙관할 수 없다,-1,17
1029,국내 수입을 더 부추길 수 있어서다,-1,17
1030,세계적으로 올해 돼지고기 생산량이 증가하면서 돼지 값이 하락할 것이란 전망이어서 향후 미,-1,17
1031,17번쨰 기사입니다,0,18
1032,18번쨰 기사입니다,0,19
1033,■4월 한돈 4439원,0,19
1034,하락4월 돼지 값이 올 들어 ,-1,19
1035,지난해 동월대비 하락폭도 가장 컸다,-1,19
1036,오르면서 ,1,19
1037,계절적으로 돼지고기 소비가 살아나는 시기인 때문이다,0,19
1038,낮았다,0,19
1039,이후 돼지 값이 전년 대비 낮은 수준이 지속되는 가운데 4월 하락폭이 가장 컸다,-1,19
1040,비교해 출하가 거의 줄지 않았던데 ,0,19
1041,돼지 값 하락폭을 키운 것으로 분석된다,-1,19
1042,돼지 출하두수가 역대 4월 중 가장 많았다,0,19
1043,증가했다,1,19
1044,올해는 그 차이가 크지 않았다,0,19
1045,돼지 출하가 140만마리 이상을 기록한 것은 올해가 처음이다,0,19
1046,초로 출하가 다소 미뤄졌던 때문이다,0,19
1047,출하 증가세가 이어지고 ,0,19
1048,이로써 4월말 돼지 출하두수는,0,19
1049,전 561만마리에 비해 4.8,0,19
1050,저작권자 ,0,19
1051,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 19번쨰 기사입니다,0,20
1052,불을 당겼다,1,20
1053,외식 수요 감소에다 최근 구제역까지 발생하면서 한돈 소비 정체가 심각한 상황이라고 분석했다,-1,20
1054,한돈 소비촉진 행사를 추진키로 해 그 결과에 기대가 모아지고 ,1,20
1055,컨셉=가정의 달을 맞이해 ‘한돈으로 소확행,0,20
1056,각 부위별 소비처를 세분화에 타깃 프로모션을 진행한다,0,20
1057,각 부위별 수급상황 분석과 대응방안을 모색하는 접근을 시도했다는 점에서 의미가 크다 ,0,20
1058,외식 소비가 증가하는 봄철을 맞아 외연을 확대한다는 계획이다,1,20
1059,이와 함께 가정의 달을 맞아 한돈,0,20
1060,전부위 소비촉진도 함께 도모한다,1,20
1061,맞춤형 소비확대 전략을 실시한다,0,20
1062,소비확대 협조를 요청하는 한편 ,0,20
1063,소비 붐업도 적극 추진한다,0,20
1064,진짜 의사가 돌아왔다,0,20
1065,소비촉진 캠페인>을 알리기 위해 네이버,1,20
1066,올해 한돈 소비는 정체된 반면,0,20
1067,입 돈육과 수입 쇠고기는 판매량이 급증한것으로 나타났다,1,20
1068,가량 매출이 되레 줄었다,-1,20
1069,가량 상승했다,1,20
1070,전년대비 증가하는 등 수입산 축산물의 성장세가 두드러졌다,1,20
1071,할인 행사 추진으로 가격 할인이 미미했던 반면 ,-1,20
1072,국내에서 활발한 마케팅을,0,20
1073,진행했다,0,20
1074,그 결과 올해,0,20
1075,판매량도 크게 상승한 것으로 풀이되고 ,1,20
1076,20번쨰 기사입니다,0,21
1077,올해 돼지고기 수입량이 급증하면서 수입육 재고 적체도 심화되고 있어 돼지고기 시장에 부담요인이 되고 ,-1,21
1078,늘었다,0,21
1079,이상이 수입되는 등 올해 수입량이 급증한데 ,0,21
1080,늘었다,0,21
1081,특히 삼겹살의 경우 올해 수입량은 감소했음에도 3월 2만600,-1,21
1082,톤이 쌓여 17년 대비 16.6,0,21
1083,심화될 수 있는 만큼 경계의 목소리가 나오고 ,-1,21
1084,가격에도 부담이 될 수 있어 수입육에 대한 우려의 목소리가 커지고 ,-1,21
1085,저작권자 ,0,21
1086,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 21번쨰 기사입니다,0,22
1087,돼지 값 전망이 하향 조정됐다,-1,22
1088,하락할 것으로 내다봤다,0,22
1089,가량 낮아진 수준이다,-1,22
1090,평균 4천827원)하며 약세를 이어,-1,22
1091,수입량도 3만6천톤으로 지난해보다 더 늘 것으로 내다봤다,0,22
1092,하반기 출하증가세가 더 두드러질 것으로 예상됐다,1,22
1093,이에 따라 하반기 돼지 값도 △7~8월 4천700~5천원(전년비 9.6,0,22
1094,지난해 대비 하락세가 지속될 전망이다,-1,22
1095,마련해야 한다고 입을 모으고 ,0,22
1096,저작권자 ,0,22
1097,  지난해 생산비 증가에도 돼지 두당 순수익은 더 는 것으로 조사됐다,0,22
1098,<아래 표 참조,0,22
1099,증가했다,0,22
1100,가량 늘었지만 ,0,22
1101,가량 증가한 가운데 전체 생산비 중 51.8,0,22
1102,상승한 8만6천원,0,22
1103,늘어 생산비 증가에 한몫 했다,0,22
1104,규모별 수익 차이가 컸다,1,22
1105,배에 달했다,0,22
1106,이는 수입보다 생산비 차이에서 비롯된,0,22
1107,분석됐다,0,22
1108,)에 달했다,0,22
1109,저작권자 ,0,22
1110,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 22번쨰 기사입니다,0,23
1111,소비자 가격 하락에도 식당 삼겹살 가격은 오히려 오른 것으로 조사됐다,0,23
1112,올랐다,0,23
1113,가격 인상폭이 큰 품목 중 하나가 바로 삼겹살이었다,0,23
1114,(100g당 2천원→1천817원) 각각 하락했다,-1,23
1115,임대료 등 다른 비용의 인상분이 반영된 것으로 파악된다,0,23
1116,쉽게 변동되기 어렵다는 점도 한몫했다,-1,23
1117,모르는 상황에서 메뉴 가격을 쉽게 내리기 쉽지 않다는 점이다,-1,23
1118,얼어붙어 있는 한돈 소비 시장을 더 힘들게 할 수 있다는 우려가 나오고 ,-1,23
1119,저작권자 ,0,23
1120,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 23번쨰 기사입니다,0,24
1121,시작되면서 돼지,0,24
1122,상승세를 이어가고 ,1,24
1123,제주 제외 5천19원)으로 5천원대로 올라섰다,0,24
1124,안정적으로 머물면서 ,1,24
1125,연속 징검다리 연휴로 소비가 기대되면서 가격이 오른 것으로 분석되고 ,1,24
1126,비교하면 올해는 50여일 늦었다,-1,24
1127,저작권자 ,0,24
1128,육박하며 올해 누계 기준 이미 20만톤을 넘어섰다,0,24
1129,늘었다,0,24
1130,증가하면서 역대 최고 기록을 기록했던 11년과 17년의 수입량을 뛰어넘고 ,1,24
1131,대비 45% 증가했다,0,24
1132,전 수준에 그쳤다,0,24
1133,증가하며 대조를 보였다는 것,0,24
1134,특히 이 중 올해 국내서 큰 인기를,1,24
1135,고 있는 ‘이베리코,0,24
1136,국가별 수입량에서도 스페인산의 약진이 눈에 띈다,0,24
1137,감소했다,-1,24
1138,급증했다,0,24
1139,저작권자 ,0,24
1140,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 24번쨰 기사입니다,0,25
1141,배합사료업체들의 사료 값 인상이 ‘초읽기,0,25
1142,국내 배합사료 가격도 인상 요인이 발생하고 ,0,25
1143,경영에 큰 타격을 입고 ,-1,25
1144,이에 최근 국내 배합사료업체들은 지방선거 이후 인상을 단행할 것으로 알려지고 ,0,25
1145,빠르면 이번주부터 현장에 인상을 통보,0,25
1146,인상을 택했다,-1,25
1147,25번쨰 기사입니다,0,26
1148,가격이 6월에 이어 7월에도 5천원 안팎을 형성할 것으로 예측됐다,0,26
1149,가격 전망 발표를 통해 7월 한돈 가격은 전년보,0,26
1150,약세를 보여 4천900원,-1,26
1151,하락한 가격이다,0,26
1152,많은 124만마리가 출하될 것으로 전망되기 때문이다,0,26
1153,산의 수입 단가 하락으로 전년 동월보다 증가한 3만톤이 들어올 것으로 예상됐다,-1,26
1154,이후 연말까지 지속 하락 9,0,26
1155,26번쨰 기사입니다,0,27
1156,돼지 값이 올 들어 처음으로 5천원을 넘었다,0,27
1157,오르면서 ,1,27
1158,이는 그동안 부진했던 삼겹살 등 구이용 부위들의 판매가 살아나는 등 소비가 받쳐 준데다 출하물량도 올해 흐름에 비춰볼 때 상대적으로 많지 않았던 탓도 있다,1,27
1159,감소했으며 일년전,0,27
1160,대비 돼지 출하 감소폭이 더 컸던 것으로 보인다,0,27
1161,증가했던 4~5월에 이어 3개월만에 증가세도 꺾였다,-1,27
1162,늘었다,0,27
1163,지난해와 비교하면 6월도 하락세를 피하지 못했다,-1,27
1164,낮았다,0,27
1165,가량 낮았다,0,27
1166,저작권자 ,0,27
1167,이하 하락 가능성이 우려되는 가운데 올해 연평균 돼지 값은 4천원 초반대를 기록할 것으로 분석됐다,-1,27
1168,양돈관측을 통해 연평균 돼지 값이 4천100,0,27
1169,낮고 ,0,27
1170,이처럼 올해 돼지 값이 하락하는 주된 이유는 출하물량 증가,-1,27
1171,이상 하락세를 지속할 것으로 예상했다,-1,27
1172,낮을 것으로 추산됐다,0,27
1173,낮은 4천200~4천500원에 그칠 전망이다,0,27
1174,낮을 것으로 예상됐다,0,27
1175,저작권자 ,0,27
1176,양돈타임스 무단전재 및 재배포 금지임정,0,27
1177,기사 보기 27번쨰 기사입니다,0,28
1178,외식’은 줄고 ,0,28
1179,가정 내 한돈 소비를 늘릴 방안이 업계에 요구되고 ,0,28
1180,정부는 근로기준법 개정에 따라 지난 7월1일부터 300인 이상 사업장 직장인들에 한해 ‘주당 노동시간 52시간,0,28
1181,사업장에선 2021년 7월 1일부터 각각 시행될 계획이다,0,28
1182,근무제가 정착되면 돈육 소비 트렌드 역시 변화될 것으로 전망되고 ,0,28
1183,이는 직장인들의 직장에서의 시간이 줄어듦에 따라 장기적으로 회식 소비는 감소,0,28
1184,대형마트에서의 한돈 입지를 확대해야 한다는 여론이 일고 ,0,28
1185,2017년도 한돈자조금 홍보 효과 분석 보고서에 따르면 돼지고기 구입 장소 여부에 대해 47,0,28
1186,수입돈육과 한돈과 각축을 벌이고 ,0,28
1187,또한 간편식 시장도,0,28
1188,지속적으로 확대될 것으로,0,28
1189,한돈 식품업계도 분주하게 움직이고 ,0,28
1190,안주 간편식 매출 역시 상승세를 보이고 ,1,28
1191,다양한 가정 간편식을 내놓는 등 가정 내 소비 증가 확대에 대한 준비를,0,28
1192,나타나는 등 한돈 소비 확대를 위해 박차를 가하고 ,0,28
1193,28번쨰 기사입니다,0,29
1194,자조금이 하반기 돈가 안정을 위해 한돈 수급 안정 예비비를 투입,0,29
1195,안)에 대해 협의했다,0,29
1196,이날 관리위원들은 올 하반기 등급 판정 마릿수 증가로 돈가가 크게 하락할 것으로 우려하면서,-1,29
1197,추가 거출해 적립하고 있는 한돈 수급안정예비비,0,29
1198,안)을 의결키로 했다,0,29
1199,공급량을 축소하기 위해 조만간 수입육 업체를 대상으로 무분별한 수입 자제를 요청키로 했으며,1,29
1200,무더위와의 전쟁이 시작됐다,0,29
1201,올해 장마가 끝났다는 분석이다,0,29
1202,전국 대부분 지역에 폭염 특보 및 주의보가 내려졌다,-1,29
1203,올 여름 찜통더위의 시작을 알린 셈이다,0,29
1204,전국이 북태평양 고기압의 영향으로 덥고 습한 공기가 유입,0,29
1205,면서 평년보다 높은 기온을 보이겠다고 ,0,29
1206,양돈농가들도 긴장하고 ,-1,29
1207,생산성 저하를 가져오는 것은 물론 내년 성적에까지 영향을 줄 수 있기 때문이다,-1,29
1208,돼지들이 덥지 않도록 관리해야 한다고 ,0,29
1209,폭염 피해를 최소화해야 할 것이라고 당부하고 ,0,29
1210,저작권자 ,0,29
1211,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 29번쨰 기사입니다,0,30
1212,유지하면서 전년비 증가세를 지속했다,0,30
1213,<표 참조,0,30
1214,늘었다,0,30
1215,전년 동기 106만2천마리에 견줘 0.7,0,30
1216,월령별로 보면 4,0,30
1217,가량 적은 113만9천마리로 조사됐다,0,30
1218,농장의 규모화가 지속되고 있다는 흐름은 농장수 통계에서도 확인된다,0,30
1219,즉 6월 기준 사육농장수는 6천195개로 3월,0,30
1220,각각 감소했다,0,30
1221,준 반면 5천마리 이상 사육 농장은 385호로 일년전 대비 1.6,0,30
1222,각각 증가했다,0,30
1223,저작권자 ,0,30
1224,양돈타임스 무단전재 및 재배포 금지임정은다른기사 보기 30번쨰 기사입니다,0,31
1225,31번쨰 기사입니다,0,32
1226,기록적 폭염이 양돈시장의 주요 변수로 대두되고 ,0,32
1227,하락할 것으로 내다봤다,0,32
1228,폭염으로 비육돈 폐사가 이어질 경우 5천,-1,32
1229,이는 폭염 피해가 돼지 값도 좌지우지할 정도로 극심한 때문,-1,32
1230,돼지 폐사는 8천410마리로 전년 동기간 5천330마리에 비해 57.8,-1,32
1231,일평균 약 700여마리가 폐사한 것으로 나타났다,-1,32
1232,가량이 폭염으로 폐사한 셈이다,-1,32
1233,표본농가 조사 결과 최근 폭염으로 인해 출하일령은 182,0,32
1234,늘었고 ,1,32
1235,감소,1,32
1236,이 경우 돼지 값도 예상보다 오를 수 있다는 것이다,0,32
1237,특히 올해 폭염의 영향이 내년까지 갈 수 있다는 지적이다,-1,32
1238,산자수 저하 등 모돈 생산성 저하가 발생할 경우 내년 등급판정두수에 영향을 미칠 가능성이 있다고 ,-1,32
1239,저작권자 ,0,32
