week,sentence,sentiment
300,회의를 갖고 2분기 소비,neutral
301,맞춤형 악취저감 컨설팅 지원사업이 이뤄진다,neutral
301,농가를 대상으로 축산악취 저감 지원을 실시키로 했다,positive
301,이를위해 농림축산식품부와 축산환경관리원의 협조아래 약,neutral
302,경쟁육인 수입 돈육과 수입 쇠고기는 판매량이 급증한것으로 나타났다,positive
302,한돈과 수입산 축산물의 매출신장률을 분석한 결과,neutral
303,불을 당겼다,neutral
303,외식 수요 감소에다 최근 구제역까지 발생하면서 한돈 소비 정체가 심각한 상황이라고 분석했다,negative
303,한돈 소비촉진 행사를 추진키로 해 그 결과에 기대가 모아지고 ,positive
303,컨셉=가정의 달을 맞이해 ‘한돈으로 소확행,neutral
304,크롬급여가 도움이 된다는 분석이 나왔다,positive
304,게재된 연구결과를 인용,neutral
304,고온스트레스에 따른 폐사와 생산성,negative
305,한돈요리 쿠킹클래스’를 연이어 ,neutral
305,해외 홍보사업의 일환으로 추진됐다,neutral
305,돼지고기의 해외시장 공략이 본격화된다,neutral
305,행정적으로 지금 당장 수출이 가능한 홍콩이 첫 번째 타깃으로 지목됐다,neutral
305,이하 한돈자조금)는 공격적으,negative
306,기술 경연장이 될 전망이다,neutral
306,위원장 정현규)는 지난 10일 서울 더케이호텔에서 ‘AP,neutral
307,대전충남양돈조합을 대표하는 브랜드를 넘어 ,neutral
308,돈협회 하태식 회장이 한돈만이 가질 수 있는 스토리 개발에 강한 의지를 드러냈다,positive
308,우리 돼지의 다양한 스토리를 발굴해야 한다,neutral
308,그러면서 한돈의 해,neutral
309,돼지고기 수입량도 4만톤을 훌쩍 넘기며 지난해보다 크게 증가했다,neutral
309,늘었다,neutral
309,이로써 4월말 수입량은 17만7천톤으로 일년전 14만3천톤 대비,neutral
310,고기파티를 열었다,neutral
310,‘2018,neutral
311,예산 부족을 이유로 힘들다는 설명을,negative
312,돼지 등급판정 두수가 지난해 대비 크게 증가한 가운데 등급판정 성적은 떨어진 것으로 나타났다,negative
312,등급판정을 받은 돼지는 146만4천마리로 전년 동,neutral
313,올해 돼지고기 수입량이 급증하면서 수입육 재고 적체도 심화되고 있어 돼지고기 시장에 부담요인이 되고 ,negative
313,최근 육류유통수출협회에 따르면 3월말 71개 검역시행창고 조사 결과 수입 돼지고기 정육 재고량은 6만3천877,neutral
314,이정배 조합장을 비롯한 조합임직원과 전산성적 우수농가들이 화이팅을 다짐하고 ,positive
314,지난해에도 서울경기양돈농협 전산농가들의 생산성이 국내 평균을 웃돈 것으로 나타났다,neutral
314,기록했다고 밝,neutral
315,  있는 가운데 국내산 무침주사기도 빠르면 올 연말정도면 개발이 완료될 전망이다,neutral
315,협회 차원의 피내접종 현장실험과 함께 전용백신 생,neutral
316,돈협회 부회장에 고권진 제주서부지부장이 새로이 선출됐다,neutral
316,이사회에서 고권진 부회장의 선임안을 의결했다,neutral
317,올들어 육지와 제주지역 돼지가격의 차이가 크게 줄어든 것으로 나타났다,neutral
317,축산물품질평가원에 따르면 올들어 4월까지 제주 도매시장에서 거래,neutral
318,충남 부여군 소재 롯데리조트에서 전국 대의원들을 대상으로 자조금사업 설명회를 개최할,neutral
319,지번 직접 입력케,neutral
319,사전  농경지 국한중간저장조도 입력 가능,neutral
319,허위기재 행위는 집중 단속사전 이 이뤄진 농경지라면 재활용 신고 때와 다른 곳에 액비 살포가 이뤄지더라도 전자인계시스템 신고가 가능한 것으로 나타났다,neutral
319,이같이 밝혔다,neutral
319,해당농가의 액비는 동일농가가 재활용신고한 농경지에만 살포가 가능토,neutral
320,분기연속 사료곡물 수입가격 상승이 예측되고 있어 양돈농가 경영에 불안요소가 되고 ,negative
320,최근 농촌경제연구원은 분기별 사료용 곡물 수입단가,neutral
321,올해 돼지고기 수입량이 급증하고 있는 가운데 한돈시장을 위협하는 것은 수입 돈육뿐만이 아니다,negative
321,삼중의 위협을 주고 ,negative
321,가량 증가했다,neutral
322,진입할 것이란 전망이다,neutral
322,지난해 보다는 큰 폭의 하락이 불가피할 것으로 예상됐다,negative
322,한국농촌경제연구원은 6월 돼지관측을 통해 이같,neutral
323,전국 방방곡곡에서 할인행사를 펼치고 ,positive
323,포문을 열었다,neutral
323,저지방부위 추가 증정 프로모션을 전개하고 ,positive
323,뒷다리살 등의 저지방 부위를 300g,neutral
324,경종농가가 희망할 경우 사전 재활용신고가 이뤄지지 않은 농경지에도 액비 살포가 가능토록 해야 한다는 주장이 제기됐다,neutral
324,회의에서 이같이 밝혔다,neutral
324,본지 3189호(5월25일자) 6면 참조이기홍 위원장은 가축분뇨 액비 전자인계시스템 관리감독 기관인 한국환경공단 관계자들도 자,neutral
325,정영철 대표가 협약서를 교환하고 ,neutral
325,대한한돈협회(회장 하태식,neutral
326,충분한 보상금 지급을 정부에 요청했다,neutral
326,명시돼 있는 예방적 살처분 범위를 정부 임의대로  3km까지,neutral
327,지난해 생산비 증가에도 돼지 두당 순수익은 더 는 것으로 조사됐다,neutral
327,<아래 표 참조,neutral
327,지난해 비육돈 두당 순수익은 8만5천594원으로 16년 8만1천699원에 비해 % 증가했다,neutral
327,두당 생산비가 32만,neutral
328,돼지 값 전망이 하향 조정됐다,negative
328,하락할 것으로 내다봤다,neutral
329,큰 폭의 할인도 받을 수 있는 기회가 마련됐다,positive
329,카카오톡과 함께 한돈할인 기획전을 펼치고,neutral
330,센터를 회원으로 하는 사단법인 설립이 추진된다,neutral
330,한국종돈협회 설립안을 의결했다,neutral
330,새 집행부 구성 이후 처음 열린 이날 이사회에서 참석자들은 비육농장,neutral
331,산업 발전의 발목을 붙잡는 다양한 장애물에 대한 해법 모색에 나섰다,neutral
331,이 자리에는 김주붕 경남도방역과장과 김규중 창원시농업정책과장,neutral
332,국제 돼지 값 하락도 한 몫하고 있는 것으로 분석되고 ,negative
332,국내 돈가 하락에도 수입육 방어 효과가 떨어진 셈이다,negative
332,최근 농촌경제연구원에 따르면 1분기 돼지고기 평균 수입단가는 ㎏당 달러로,neutral
333,이자그룹 관계자들과 수출입 계약을 기념하고 ,neutral
333,중국의 수많은 양돈현장에서 한국산 악취 저감제품이 사용된다,positive
333,이자그룹’ (BEIJING RESOURCES YI JIA GROUP)과 50억원에 달하는 탈취제 수출계약을 체결했다,neutral
333,이번에 수출되는 제품은,neutral
334,양돈농가들이 긴장하고 ,negative
334,시기적으로 설사병은 염두에 두지 않다보니 당황스럽다,negative
334,간헐적이긴 하나 최근까지 일부 지역을 중심으로 PED의 순환감염 사례까지 확인되고 ,negative
335,큰 폭으로 감소했다,negative
335,농림축산식품부에 따르면 4월 양돈사료 생산량은 52만2천6,neutral
336,우리나라가 살모넬라증 연구와 방역 기술이 세계적 수준임을 인정받았다,positive
336,프랑스 파리에서 열린 OIE,neutral
337,돼지유행성 설사병)가 막대한 피해를 준 것으로 파악되고 ,negative
337,이를 짐작할 수 있는 것이 농림축산검역본부의 가축전염,negative
338,수상 후보자를 오는 7월31일까지 공모한다,neutral
338,대한한돈협회와 베링거,neutral
339,자조금의 재정기반이 더욱 탄탄해졌다,positive
339,올들어서만 6억원을 회수했다,positive
339,이 가운데 2016년분은 2억7천500만원,neutral
339,이에 따라 한돈자조금,neutral
340,주민확인서를 받아오라고 ,neutral
340,지,neutral
341,리 요리교실 수료식을 기념한 한돈도시락을 들고 ,neutral
341,이하 한돈,neutral
342,제주흑돼지개량사업단이 운영위원단 위촉식을 갖고 ,neutral
342,제주흑돼지의 체계적 개량체계가 구축된다,neutral
342,산학관연이 손을 맞잡고 ,neutral
342,제주축산진흥원에서 ‘제주흑돼,neutral
343,이동식 체중측정기 보조사업이 조합원들에게 호응을 얻고 ,positive
343,사료이용 조합원들을 대상으로,neutral
344,소비자 가격 하락에도 식당 삼겹살 가격은 오히려 오른 것으로 조사됐다,neutral
344,올랐다,neutral
344,냉면과 함,neutral
345,돼지 출하물량이 역대 5월 중 가장 많았다,neutral
345,증가했다,neutral
345,만두 이상을 기록하면서 올 5월은 역대 5월 중 최대 출하물량을 기록했다,neutral
345,같은 기간 698만마리 대비 5% 증가했,positive
346,후보돈 판매 증가세가 한 풀 꺾였다,neutral
346,이동 등록 현황을 보면 최근 3개월간(3~5월) 이동(판매)두수는 총 4만1천589두로 작년 동기간,neutral
347,한마음대회를 개최했다.,neutral
347,이날 행사에는 오세제 국회의원,neutral
348,일당증체량은 g이 증가했다는 분석결과가 나왔다,neutral
348,유성호텔에서 개최된 ‘2017 종돈능력검정보고회 및 제24회 종돈개량세미나,neutral
348,<관련,neutral
349,무더기 악취관리지역 지정을 강행했다,negative
349,악취관리지역으로 지정 고시했다,neutral
349,부지면적 24,neutral
350,양돈수급조절협의회장에 재임됐다,neutral
351,하반기 돈가 하락세가 기정사실화 되고 ,negative
351,증가할 것으로 예측됐다,positive
351,그러나 올해 5월말까지 예측치보,neutral
352,동참을 거듭 호소하고 ,neutral
352,기금모금 독려 서신을 통해 한돈혁신센터가 철거공사,neutral
353,사육두수 조절 노력이 본격화될 전망이다,neutral
353,동참을 유도해 나가기로 했다,positive
353,이날 회의에서 참석자들은 돼지가격이 이달을 정점으로 내리막 길을 타며 오는 10월에,neutral
354,도협의회<사진>를 열고 등급,neutral
355,지난달 돼지 품질이 다소 향상된 것으로 나타났다,positive
355,축산물품질평가원에 따르면 지난 5월 돼지도체등급판정결과 1+ 등급은 ,positive
356,한돈을 주제로 한 가족운동회 ,neutral
356,한돈자조금관리위원회,neutral
357,대에 안착했다,neutral
357,전일보다 134원이 오르며 5천원,positive
358,우수종돈 확대 보급 사업의 일환으로 도내 양돈농가에 축진듀록을 첫 공급키로 했다,neutral
358,듀록은 국립축산과학원이 국내 종돈분야의 수입 의존도를 낮추기 위해 지난 2007년 개발을 완료,positive
359,도드람양돈서비스 배호영 본부장이 종축개량협회 이재용 회장으로부터 상패를 받고 ,neutral
359,농장으로 선정됐다,neutral
359,정액등 처리업체,neutral
360,제주특별자치도가 돼지열병 생마커 백신 접종을 추진하고 있다.,neutral
360,근절이 어렵다는 판단에 따른 것이다,negative
360,집단 손해배상 청구 움직임도 포착되고 있어 논란이 확산될 전망이다,negative
360,◆ 올들어 7개소 늘어,neutral
360,오히려 감염 농장이 증,neutral
361,육박하며 올해 누계 기준 이미 20만톤을 넘어섰다,neutral
361,대비 % 증가했으며 지난해 동월 3만7,neutral
362,상승세를 이어가고 ,neutral
362,돼지 값은 지난,negative
363,평소 국내 양돈장들이 가장 골머리를 앓는 돼지질병은 예상대로 PRRS임이 확인됐다,negative
363,돼지질병 진단실적이 많은 대학 1개소,neutral
364,돈협회 하태식 회장이 양돈농가의 출하대 설치를 뒷받침할 제도적인 배려를 정부에 주문하고 ,positive
364,언급이 이뤄질 때면,neutral
365,풍향 풍속 측정 과정을 지켜보고 ,neutral
365,지난 5일 오전 8시경 제주도 서귀포시 안덕면 소재 흑돼지 농장인 승하농장,neutral
365,지점에서 정밀 장비를 동원한 냄새측정에 한창이다,neutral
365,측정팀의 설명에 이내 환한 미소를 짓는다,positive
365,단속 나온 것도 아,neutral
366,사실로 확인되면서 논란이 표면화 되고 ,negative
366,가야육종에서 실시한 등지방 실측치와 보정치 비교실험 결과를 공개했다,neutral
366,보정식으로 산출한 등지방두께와 비교한 것,neutral
366,그 결과,neutral
367,크게 증가했던 종돈 수입 물량이 올해 감소세로 돌아서고 ,negative
367,종축개량협회에 따르면 금년 5월말까지 종돈 수입 두수는 749두로 작년 동기간 1천399두보다 절반,neutral
368,배합사료업체들의 사료 값 인상이 ‘초읽기,neutral
368,올해 초 국제 곡물 가격에서 대두박이 큰 폭으로 상승,neutral
369,대책을 내놓았다,neutral
369,접종을 고집하지 않아도 된다는 것이다,neutral
369,근육주사한다,neutral
370,측정오차 최소화▲ 종돈개량부 직원들이 검정돈의 상태를 확인해 보고 ,neutral
370,이곳에 포인트를 찍었습니다,neutral
370,어떻게 보시죠,neutral
370,눈으로 봐도 알 것 같습니다,neutral
370,지난 11일 태흥종축의 해남GGP,neutral
370,참가한 종돈개량부,neutral
371,하절기 생산성 저하를 최소화 할 수 있는 사료를 내달 1일부터 조합원들에게 공급한다,neutral
371,사료의 신선도 유지를 위한 항곰,positive
372,양돈사료량이 역대 최고치 기록을 연이어 ,positive
372,연속 증가하면서 하반기 양돈시장에 대한 불안을 높이고 ,negative
372,각각 증가했다,neutral
372,역대 5월 양돈사료량 가운데 가장 많은 양이다,neutral
372,이로써 5월말 양돈사료량은,neutral
373,대부분이 소비자들이 한돈을 인지하고 ,neutral
373,이는 한돈자조금관리위원회,neutral
373,농가와 소비자를 대상으로 실시한 이번  조사 결과  ‘한돈,neutral
374,이상육피해 최소화를 위해 안간힘을 쓰고 ,neutral
374,홍보에 나섰다,neutral
374,구제역 백신 부표내용이 변경됨에 따라 목부,neutral
375,올해 돼지 출하 증가에도 한돈 재고가 지난해보다 크게 감소한 것으로 조사됐다,negative
375,올해 침체된 한돈 소비 시장이 반영된 결과라는 분석이다,neutral
375,감소한 것,negative
376,제주특별자치도와 제주양돈업계의 법적공방이 본격화 된다,negative
376,행정소송 소장을 지난,negative
377,이상육 피해가 상대적으로 큰 양돈농가들을 대상으로 이상육 발생률 저,neutral
378,시스템을 구축했다.,neutral
378,육종세미나’를 통해 이같이 밝혔다,neutral
378,인덱스는 종돈의 경제적 가치를 나타내는 종합적인 지표로서 형,neutral
379,두당 5만원까지 상승,neutral
379,모돈장 중심 규모 확대 원인돼지 위탁사육장 확보가 더 어려워졌다,negative
379,수입돼지고기의 급속한 시장잠식 추세 속에 가격경쟁력 확보가 절실한 국내 양돈업계의 또 다른 고민거리로 부상하고 ,negative
379,귀하신 몸’이 돼버린 일부 위탁사육농가의 ‘갑질,negative
379,돼지 위탁사육비는 매년 상승세가 지속,neutral
379,3만~3만5천원선이던 3년전과 비교해 1만5,neutral
380,지역축제와 연계해 지역특화 홍보사업을 전개하고 있는 한돈자조금,neutral
381,가격이 6월에 이어 7월에도 5천원 안팎을 형성할 것으로 예측됐다,neutral
381,이후 한돈 수급 및 가격 전망 발표를 통해 7월 한,neutral
382,어려운 시기에 중책을 맡게 돼 어깨가 무겁다는 신임 김춘일 대한한돈협회 충북도협의회장,neutral
382,최우선 과제로 권역내 한돈인들의 단합을 지목했다,neutral
382,이를 위해,neutral
383,지난달 양돈용배합사료 생산량이 또다시 사상 최대치를 갈아치웠다,positive
383,생산된 양돈사료는 54만3천686톤으로 전월대비 ,neutral
383,많은 해로 기록됐던 전년보다도,neutral
384,소비자 인식의 급속한 변화속에서 국내 양돈산업 사수를 위해 한돈자조금은 어떤 역할을 해야 할까,neutral
384,마케팅을 주문했다,neutral
384,특히 수입돼지고기 시장 돌풍의 주역으로 지목되고 있는 스페인산 ‘이베리코,neutral
384,‘유통구조개선 및 수급안정,neutral
384,‘생산자정보 제공 및 산업,neutral
385,소비자가 참여하는 뜻깊은 행사를 준비하고 ,neutral
385,한돈자조금은 내달 14일과 15일,neutral
386,돈협회 동창원지부가 닻을 올렸다,neutral
386,창원풀만호텔 연회장에서 김근환 초대지부장의 취임식을 갖고,neutral
387,한국농촌경제연구원이 이달의 돼지가격 전망을 상향조정했다,neutral
387,돼지가격을 예상했다,neutral
387,낮은 수준이다,negative
387,등급판정 마릿수가 전년동월,neutral
388,자돈 가격도 하락하고 ,negative
388,농가들의 인식을 반영한다는 점에서 시사하는 바가 가볍지 않다는 지적이다,negative
388,혹은 그 이하에서도 거래가 이뤄지고 ,neutral
388,가량 낮은 수준으로 출하 돼지 시세보다 하락폭이,negative
389,신축 GGP준공,neutral
389,해남GGP가 귀환했다,positive
389,강해졌다,negative
389,준공허가를 받게 됐다,neutral
389,단층 비육사에 이르기까지 건평 3천200평,neutral
389,규모가 늘어나는 것은 아니다,neutral
389,태흥종축은 모돈 700두 규모의 기존 농장을,neutral
390,올해 돼지 값 하락에다 생산비 상승으로 농가들의 수익이 감소할 것으로 예측되고 ,negative
390,농가들의 부담이 가중될것으로 보인다,negative
390,축산물품질평가원에 따르면 상반기(1월1일~6월20일) 한돈 가격은 탕박 기준(제주 제외) kg당,neutral
391,전파를 타기 시작했다,neutral
391,더욱 관심을 끌고 ,neutral
391,한돈자조금관리위원회,neutral
392,대학생들에게 농사체험의 기회를 제공했다,positive
392,아름다운 농촌마을 가꾸기를 위한 대학생 농촌,positive
393,사료업계의 역할론을 강조하고 ,neutral
393,산업 발전을 위한 배합사료업계와의 간담회 자리에서다,neutral
393,있는 현실을 지적했다,negative
393,사료에 투입되는 중금속이 제대로 소화되지 않은 채 가축분뇨로 배출되면서,negative
394,이하 하락 가능성이 우려되는 가운데 올해 연평균 돼지 값은 4천원 초반대를 기록할 것으로 분석됐다,negative
394,양돈관측을 통해 연평균 돼지 값이 4천100,neutral
395,돼지 값이 올 들어 처음으로 5천원을 넘었다,neutral
395,오르면서 ,positive
395,이는 그동안 부진했던 삼겹살 등 구이용 부위들의 판매가 살아나는 등 소,positive
396,이상의 기관 참여를 제주특별자치도에 공식 요청했다,neutral
396,협회에 따르면 제주도는 도내 양돈농,neutral
397,지난달 국내 양돈현장에서는 번식구간  양호한 성적을 보인 것으로 나타났다,positive
397,그 외 구간에서는 지난해와 비슷하거나 오히려 뒷걸음질 친 것으로 분석,negative
398,축하인사들이 기념행사에서 자리를 함께했다.,neutral
398,창립 21주년을 맞았다,neutral
398,돼지문화원에서 기념행사를 갖고 1,neutral
399,한돈 소비홍보가 문화와 스포츠 분야에서도 활발히 전개되고 ,neutral
399,이하 한돈자조금,neutral
400,첫 수료생 60명을 배출했다,neutral
400,수료식 행사에는 심영섭,neutral
401,돼지 사육구간별 사료의 권장급여 비율 준수가 양돈농가 수익 향상을 위한 지름길임이 다시 한번 확인됐다,positive
401,사료평균 단가와 사료요구율이 상대적으로 낮은 것으로 나타났다,negative
402,올해 이유 후 육성률이 급격하게 낮아지고 ,neutral
402,소모성질환이 극성인 때문으로 풀이되고 ,neutral
402,복당 이유두수는 두로 최근 3년간 가장 높은 성적을 기록했다,positive
402,이는 다산 모돈이 국내에 보급되고 안정화되면서 번식성적도 본격적으로 상승하고 ,neutral
403,국내 육가공품 생산량이 2년 연속 증가한 것으로 조사됐다,neutral
403,회원사를 상대로 조사한 결과 17년 전체 육가공품 생산량은 23만9천톤으로 전년도 22,neutral
404,종돈업계의 행보가 본격화 되고 ,neutral
404,임원진들이 각지의 종돈장들과 직접,neutral
405,조항을 정부간 표준으로 새로이 채택할 움직임을 보이고 ,neutral
405,C연구소(대표 정영철)는 최근 해외언론을 인용,neutral
406,수입종돈의 유전력을 보다 정확히 파악할 수 있게 됐다,neutral
406,유전력이 우수한 종돈선발을 뒷받침하게 됐다는 점에서 종돈개량에도 긍정적인 효과가 기대되고 ,positive
406,수입종돈 선대에 대한 국내 혈통번호 부여 및 관리시스템을 구축,neutral
407,수직 콤포스트 지원사업 확대를 정부에 요청했다,neutral
407,액비 처리장의 냄새관리 필요성이 강조되고 ,neutral
407,특히 가,neutral
408,양돈현장의 세심한 사양관리가 필요하다는 지적이다,negative
408,모돈의 급폐사가 빈번히 발생하고 ,negative
408,폐사는 고온스트레스에 따른 식욕감소가 발단이다,negative
408,체온이 상승하면서 정상체온을 유지하,neutral
409,최근 양돈장 신축현장은 복층형 돈사가 대세다,neutral
409,상대적으로 높은 투자비용이 부담이긴 하나 좁은 국토에,negative
410,일부 지자체의 퇴비장 밀폐 의무화에 대해 제동을 걸고 ,negative
410,있는 경기도 이천시 등 일부 지자체에 대해 중단을 요구한 것이다,neutral
410,협회에 따르면 퇴비장 밀폐는,neutral
411,외식’은 줄고 ,neutral
411,가정 내 한돈 소비를 늘릴 방안이 업계에 요구되고 ,neutral
411,정부는 근로기준법 개정에 따라 지난 7월1일부터 300인 이상 사업장 직장인들에 한해 ‘주당 노동시간 52시간,neutral
411,50∼300인 사업장에선 2020년 1월1일부터,neutral
412,전년 대비 하락세를 이어,negative
412,기록하며 처음으로 전년 동기,neutral
413,올 상반기 양돈장의 종돈 직수입량이 종돈장을 앞지른 것으로 나타났다,positive
413,감소했다,negative
413,큰 폭으로 종돈 수입이 감소한 주 요인으로 풀이되,negative
414,조합사료 가격 인하기간을 3개월 연장했다,neutral
414,조합원들에게 희소식이 되고 ,positive
414,전품목에 걸쳐 조합사료 공급가격을,neutral
415,특별위원회의 진용이 완성됐다,neutral
415,한돈협회는 최근 회장단 회의에서,neutral
416,괴산 청안 숲속 웨딩공원에서 지부장 이취임식<사진>을 갖고 새로운 도약을 선언했다,neutral
416,시군 지부장 등 양돈지도자들과 농가 뿐 만 아니라 박덕흠,neutral
417,한돈이 고척돔에 떴다,neutral
417,이하 한돈자조금,neutral
418,돼지 인공수정시 자궁 손상은 최소화면서 수태율을 대폭 높일 수 있는 장치가 개발됐다,positive
418,개발에 성공했다,positive
418,농림축산식품부 공동의,neutral
419,이상을 기록하며 사상 최고수준을 기록했다,positive
419,줄었지만 일년전 3만3천톤 대비 ,positive
419,이로써 6월말,neutral
420,소비촉진 사업이 전개된다,neutral
420,han,neutral
421,가축 인공수정 기자재 전문기업인 (주)송강지엘씨(대표이사 원성오)의 해외,neutral
422,국내 돼지고기 소비가 크게 증가한 가운데 한돈 몫의 시장을 EU,neutral
422,FTA 발효 전인 07,neutral
423,자조금의 수급안정예비비 투입이 가시화 되고 ,neutral
423,공감했다,negative
423,하반기 큰 폭의 돼지가격 하락이 불가피할 것으로 전망되는  한돈자조금을 통한 기존의 소비촉진 사업만으론 한계가 있다는 판단에 따른 것이다,negative
424,용량을 대폭 늘린 돼지열병,neutral
424,단독 혼합백신 제품 양산체계를 구축한 것으로 알려졌다,neutral
425,강원권 설명회에 참석한 종돈업계 관계자들이 종돈협회 설립을 위한 파이팅을 외치고 ,neutral
425,한국종돈협회 설립이 탄력을 받고 ,positive
425,관심과 동참을 당부했다,neutral
425,이번 설,neutral
426,올해 상반기 한돈 출하물량이 사상 최고치를 기록한 가운데 돼지고기 수입량은 예상을 깨고 ,neutral
426,안팎에서 공급량이 증가한 동시에 마땅한 소비 호재가 없던 상반기 한돈시장은 약세를 피할 수 없었다,negative
426,양돈호황이 저물어,positive
426,돼지 출하가 당초 예상보다 많았다,neutral
426,팜스의 올해 월별 출하 예측치를 보면 6월까지 출하물량은 853만여마리로 지난해,neutral
426,제외하고 예상치를 웃돌았다,neutral
426,이에 결과적으로 상반기 출하두수는 예상치보다 많은 862만여마리로 일년전보다,neutral
427,감염되는 환자가 증가하고 있어 축산업 관련 종사자들의 각별한 주의가 요구되고 ,negative
427,농촌진흥청은 지난 6일 ‘세계 인수공통전염병의 날,neutral
428,자조금이 하반기 돈가 안정을 위해 한돈 수급 안정 예비비를 투입,neutral
428,안)에 대해 협의했다,neutral
429,무더위와의 전쟁이 시작됐다,neutral
429,올해 장마가 끝났다는 분석이다,neutral
429,그리고 기다렸다는 듯 지난 11일,negative
430,무역전쟁으로 국제 사료곡물 시세도 요동치고 ,neutral
430,발생한 라니냐로 올해 사료곡물 가격이 급등,neutral
431,돼지 값이 당분간 강세가 이어질 것으로 전망되는 가운데 휴가철 돼지 값 안정을 위한 대책이 추진된다,neutral
431,주요 농축산물의 최근 가격 흐름을 분석한 결,neutral
432,이도헌 대표가 각종 돈방 정보가 입력되는 다바이스를 설명하고 ,neutral
432,적용된 양돈장이 국내 최초로 출현했다,neutral
432,충남 홍성군 결성면 성남리에서 준공했다,neutral
432,가동되는 진정한 의미의 사물인터넷 농장은 국내에선 사실상 처음,neutral
433,원주시 판부면 들림집에서 회원간 단합을 위한 야유회,neutral
433,박영남 동물위,neutral
434,혁신센터 신축공사가 본격화됐다,neutral
434,혁신센터 착공식과 함께 안전기원제,neutral
434,이날 행사에,neutral
435,충남 부여군 궁남지 일대에서 열린 ,neutral
436,양돈장 냄새에 이어 ,positive
436,돈협회는 국내 양돈 현장의 생산성 향상이 절실하다는 판단 아래 매년 MSY  향상 목표를 설정,neutral
437,한돈자조금관리위원회가 돼지고기 자급률 제고를 위한 자구책 마련에 착수했다,neutral
437,수입돼지고기의 시장잠식에 체계적인 대응이 필요하다는 판단이 그 배경이 됐다,negative
437,한돈자조금은 우선 세계돈육시장 현황조사부터 실시키로 했다,neutral
437,그 결과를 토대로 국내산 돼지고기의 경쟁력 강화는 물,neutral
438,국내 종돈 개량 속도가 점점 가속되고 ,neutral
438,두에 대해 종돈장 검정 성,neutral
439,Q,negative
439,가축분뇨가 추가 유출될 경우 허가 취,neutral
440,서울 강동구 소재 강동그린웨이 가족캠핑장에서 성료됐다,positive
440,캠,neutral
441,폭염이 지속되면서 양돈현장에 비상이 걸렸다,negative
441,사료섭취량이 감소하고 ,negative
441,개체관리의 중요성을 거듭 강조하고 ,neutral
441,수질관리,negative
442,농가 서비스에 들어간다,neutral
442,농가를 대상으로 서비스를 개시한다고,neutral
443,전라남도에서 씨돼지 농장 우수 업체를 추가로 인증했다고 ,positive
443,농촌진흥청 국립축산과학원이 주관하는 우수 종축 업체 인증은 정액 등 처리 업체,neutral
444,새로운 종돈검정보정식이 개발된다,neutral
444,협의회를 갖고 이같이 결정했다,neutral
444,공감했다,neutral
444,현행 정부 고시는 35년전인 지난 1983년 도입된 90,neutral
445,유지하면서 전년비 증가세를 지속했다,neutral
445,<표 참조,neutral
445,늘었다,neutral
445,모돈 역시 106만9,neutral
446,올 상반기 양돈사료 생산량이 예상대로 역대 최대치를 갈아치웠다,positive
446,양돈사료생산량은 322만9천160톤으로 집계됐다,neutral
446,이전까지 가,neutral
447,돼지열병과 구제역 항체 형성률이 안정적 궤도에 접어든 것으로 나타났다,positive
447,열병박멸위원회에 따르면 지난해 전국(제주제외) 1만6천452농가 26만7천676마,neutral
448,복합 백신 50두분이 생산돼 공급된다,neutral
448,돼지열병 백신을 생산하는 주요 5개사는 10두분 용량의 제품 생산을 유지하고 ,neutral
448,농가들은 호당 사육두수가 증가하고 있는 시점,neutral
449,지부장 인준서를 전달 받았다,neutral
449,옛 마산지역 한돈인들의 권익을 대변해 온 마산지부가 대한한돈협회 서창원지부로 새 옷을 갈아입고 ,neutral
450,모양의 풍선을 들고 ,neutral
450,박광진 관리위원).,neutral
450,인증점이 마침내 1천개소를 돌파했다,neutral
450,한돈시장 확보와 함께 소비자들이 신뢰할수 있는 한돈 유통체계 구축을 목적으로 인증점 사업에 착수한지 10년만이다,neutral
450,든든한 우군을 확보했다는 점에서 국내 양돈업계의 기대를 한몸에 받고 ,positive
450,유력 프랜,neutral
451,오픈 기념식에 나서고 ,neutral
451,왼쪽 다섯 번째)도 자리를 함께했다,neutral
451,조합장 이영규)이 부산물 외식사업 확장에 나섰다,neutral
451,소비자들이 쉽게 접할,neutral
452,18일 총 3일 간 대전 관저동 소재 도드람대전센터에서 ‘2018년 도드람 양돈 후계자 교육,neutral
453,국내 돼지 개량에 속도가 붙을 전망이다,positive
453,랜드레이스 2마리를 뽑았다고 ,neutral
453,품종을 교배해 생산하고 ,neutral
453,아비 쪽은 육질과 성장률이 좋,neutral
454,지육kg당 4천900~5천200원으로 전망했다,neutral
454,관측을 통해 돼지 등급판정 마릿수를,neutral
455,양돈장 피해가 그 어느 때 보다 큰 것으로 나타났다,negative
455,농림축산식품부에 따르면 지난 6월22일부터 7월24일까지 공식 확,neutral
456,돈협회가 폭염속 각별한 사양관리를 농가들에게 당부하고 ,neutral
456,한돈협회는 사료섭취,neutral
457,날씨에 돼지고기 시장이 직격탄을 맞고 ,negative
457,휴가시즌에 접어들고 ,negative
457,실제로 등락을 거듭하던 전국 도매시장의 돼지 평균가격은 지난달,neutral
458,양돈농가들의 불만이 적지않다,negative
458,뾰족한 대책이 없다는 점에서 해당 종돈장이나 양돈장 모두 고민이 깊어,negative
458,체중의 F1을 받았다,neutral
458,공급이 부족하다보니,negative
458,교배 일정에도 차질이 불가피하게 됐다,negative
458,이같은,neutral
